"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Kindred","ADC",1,"0.3%","1.2%","2.4%","100%","100%",7,2,11,9,"90.0%","18.2%","-","-","-","-",7.9,"-",518,"22.2%","26.3%",0.32,0.48
"Kindred","Jungle",3,"0.9%","1.2%","2.4%","0%","100%",5,9,14,2.1,"70.4%","20.5%","-","-","-","-",7.1,"-",225,"14.7%","21.3%",0.71,0.67
"Kled","Middle",8,"2.4%","0.3%","2.7%","25%","75%",23,26,41,2.5,"71.9%","18.3%","-","-","-","-",8.3,"-",383,"19.6%","23.2%",0.39,0.28
"Kog'Maw","ADC",14,"4.3%","5.5%","9.8%","36%","79%",42,44,57,2.3,"67.8%","22.7%","-","-","-","-",9.9,"-",619,"33.6%","28.3%",0.61,0.35
"LeBlanc","Middle",77,"23.5%","41.8%","65.2%","44%","43%",271,153,389,4.3,"66.1%","14.1%","-","-","-","-",7.9,"-",584,"27.2%","22.7%",0.33,0.28
"Lee Sin","Jungle",84,"25.6%","41.8%","90.2%","46%","29%",276,244,556,3.4,"75.2%","21.7%","-","-","-","-",5.7,"-",316,"15.8%","19.0%",0.57,0.35
"Lee Sin","Middle",37,"11.3%","41.8%","90.2%","78%","16%",183,63,288,7.5,"73.4%","16.4%","-","-","-","-",8.5,"-",494,"22.2%","24.3%",0.48,0.22
"Lee Sin","Top",38,"11.6%","41.8%","90.2%","47%","16%",142,120,244,3.2,"69.2%","22.6%","-","-","-","-",8.2,"-",485,"23.4%","23.7%",0.46,0.17
"Leona","Support",143,"43.6%","18.6%","62.2%","43%","41%",76,489,1083,2.4,"62.9%","23.7%","-","-","-","-",1.2,"-",117,"6.0%","8.8%",1.59,0.42
"Lillia","Jungle",4,"1.2%","0.9%","2.4%","50%","75%",14,9,29,4.8,"72.9%","15.0%","-","-","-","-",7,"-",414,"21.4%","22.1%",0.28,0.17
"Lillia","Middle",1,"0.3%","0.9%","2.4%","0%","100%",1,6,4,0.8,"55.6%","25.0%","-","-","-","-",8.5,"-",644,"27.5%","24.1%",0.44,0.07
"Lissandra","Middle",12,"3.7%","1.8%","5.5%","58%","100%",26,27,91,4.3,"70.9%","18.8%","-","-","-","-",8.1,"-",440,"22.0%","21.3%",0.3,0.17
"Lucian","Middle",32,"9.8%","25.6%","37.5%","41%","53%",121,84,139,3.1,"63.6%","18.5%","-","-","-","-",8.9,"-",510,"25.9%","25.3%",0.4,0.34
"Lucian","Top",7,"2.1%","25.6%","37.5%","43%","100%",31,30,34,2.2,"54.6%","25.6%","-","-","-","-",8.6,"-",584,"26.3%","25.7%",0.44,0.27
"Lulu","Middle",17,"5.2%","15.9%","25.3%","47%","29%",26,23,148,7.6,"80.2%","12.0%","-","-","-","-",5.9,"-",313,"15.6%","17.5%",0.47,0.19
"Lulu","Support",14,"4.3%","15.9%","25.3%","43%","29%",6,36,111,3.3,"76.5%","17.9%","-","-","-","-",0.7,"-",90,"4.8%","9.4%",1.46,0.34
"Lux","Support",2,"0.6%","0.0%","0.6%","0%","100%",0,4,11,2.8,"52.4%","14.8%","-","-","-","-",0.8,"-",184,"10.3%","7.3%",1.42,0.48
"Malphite","Middle",1,"0.3%","0.3%","0.6%","100%","100%",2,2,7,4.5,"50.0%","40.0%","-","-","-","-",6.9,"-",254,"10.6%","18.2%",0.48,0.13
